param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
beta3[31],-0.28019542837948097,-0.1547613817333202,0.5192399022976045,-1.536304505810355,0.4381826999956176
beta3[32],0.3152581626324895,0.30504964609907337,0.30723277449809966,-0.18237676081143012,0.9978122253350981
beta3[33],-0.03823031882202626,-0.02296366843341288,0.32216085721306714,-0.8271471432407251,0.5953907294249067
beta3[34],0.20847614299653014,0.20235449148798867,0.3868609026417778,-0.5455307362787155,1.110194763063758
beta3[35],-0.30981933484609475,-0.19610592688581108,0.457396929464522,-1.426695844082947,0.2775962076426736
beta3[36],0.253179054900248,0.19347357160085307,0.3833029409471356,-0.3758787428989589,1.1226872247080864
beta3[37],0.502245708105558,0.4637360025582179,0.284410479690391,0.1545028318713576,1.1895970393320796
beta3[38],0.31581306792167013,0.2704569956330286,0.2748809429033716,-0.10780000030492817,1.0069624914631434
beta3[39],-0.034782765840089463,0.04048621407390078,0.37289261735729995,-1.0343290205817937,0.5558187943471895
beta3[40],-0.08804788414513183,-0.020129607537490463,0.3655193729400451,-1.0319611700553146,0.4032834861839305
beta3[41],0.8356981393002774,0.6999712493126522,0.6209551894303765,0.07625823215226935,2.464847096838635
beta3[42],-0.21429078940203014,-0.0973696320793619,0.4238118180263621,-1.355744696294992,0.28502484343184314
beta3[43],-0.7438702836045483,-0.5319652601251348,0.7329812744640003,-2.6026928238445546,0.10936173273605886
beta3[44],-0.8295904834339881,-0.7681290718809832,0.6109213932637187,-2.3440674938997983,0.04418748784821439
beta3[45],0.37472782523320497,0.3518235387859899,0.3333513098440149,-0.13409111056319084,1.1552237215125671
beta3[46],0.2850369071833616,0.27400760950415676,0.2730813836917355,-0.19834301239969676,0.8344784627099594
beta3[47],0.15841046994980942,0.13260623539133495,0.2939760886761723,-0.32215883449423416,0.7831981315690382
beta3[48],0.7174100166724254,0.5952749652849945,0.4482714568332103,0.12101471794582033,1.7209349061469905
beta3[49],-1.0056747971071456,-0.747553675561424,0.8642067559509625,-3.0423385975080546,0.08277812336422206
beta3[50],-0.8290546009931226,-0.5825832053238053,0.7485760538125306,-2.7977565755628815,-0.017535188023369716
beta3[51],0.07386549648437214,0.07132600985858187,0.2701240382896168,-0.39014864291353535,0.5901727205419749
beta3[52],-0.13668564950951873,-0.0981530761164369,0.3284677372018221,-0.8511588154945972,0.3482023756002988
beta3[53],0.27358439365612003,0.2195650058965535,0.3617868952571955,-0.3637847527336562,1.1798129016916459
beta3[54],-0.4808456761013023,-0.31578852241373,0.5672626638237849,-2.1426678720981154,0.1481014022051961
beta3[55],0.38919281389324056,0.3413029263332659,0.439135907394007,-0.1926714528240672,1.6815938160191366
beta3[56],0.5132213634576589,0.43446849741357424,0.379394561121226,0.027008522876710222,1.5184563186630569
beta3[57],-0.2539179473317884,-0.18472675414118617,0.34032474402714946,-1.2745142725680598,0.24179064861039715
beta3[58],-0.5933535694896442,-0.4720512732518306,0.5596016586264723,-2.221988910951521,0.09115911172417258
beta3[59],0.2503307133523917,0.2453573526882907,0.30273390566915925,-0.27356350913268507,0.77314209426521
beta3[60],0.05137262527088662,0.05329336846288088,0.3173176903323643,-0.39148235392927166,0.6177837495168497
beta3[61],-0.1412004407084311,-0.0635518892093321,0.3628187357939584,-1.0972064258604168,0.3732156832654382
beta3[62],-0.10957854450195385,-0.08496805540734967,0.2869097359934993,-0.6252306636955342,0.3488633532213499
beta3[63],-0.22955388733605656,-0.11439954605405295,0.44308756098812724,-1.1006680582593518,0.4321079614282906
beta3[64],0.35549152222246627,0.29729425255663855,0.3699029916974934,-0.22454393472422426,1.231478867449826
beta3[65],0.6003929984218824,0.48285346544689167,0.46026843673434603,0.0756387232074935,1.8999187090805787
beta3[66],-0.36910359083373745,-0.26540850843012587,0.512965514524972,-1.6633862154662256,0.3187467847528863
beta3[67],0.06652068418895594,0.09545044472517117,0.2548106107977832,-0.585917111206461,0.4792625065948083
beta3[68],-0.2830049437482163,-0.21564488786330213,0.435302781037229,-1.4106932207717857,0.3228338251397643
beta4[1],-0.05659693270401115,0.011730360219436,0.4312525918676683,-1.1550965229224361,0.5679736813500865
beta4[2],-0.4803388670097951,-0.4693726380608298,0.4316440108324641,-1.497105194360879,0.20925953295722732
beta4[3],0.9570412617480922,0.52264888295087375,1.072257391958936,-0.18628964989243935,3.5470278441572725
beta4[4],1.3132830987586266,0.6796141372621137,1.432969103250233,0.07229814183158453,4.937056380667948
beta4[5],-0.5117381580556949,-0.4369197174943494,0.4093060042590991,-1.3639398730269938,0.161021108571051
beta4[6],0.8769860751559654,0.29405159321215857,1.2876147253884316,-0.5427335515319941,3.868852800549524
